inference-lb-1  | 127.0.0.1:57652 [23/Oct/2025:17:11:39.168] inference_fe inference_be/srv2 0/0/0/3/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:57664 [23/Oct/2025:17:11:44.281] inference_fe inference_be/srv1 0/0/0/2/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:50858 [23/Oct/2025:17:11:49.403] inference_fe inference_be/srv2 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:50870 [23/Oct/2025:17:11:54.511] inference_fe inference_be/srv1 0/0/0/5/5 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:54380 [23/Oct/2025:17:11:59.624] inference_fe inference_be/srv2 0/0/0/4/4 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:54396 [23/Oct/2025:17:12:04.753] inference_fe inference_be/srv1 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:52664 [23/Oct/2025:17:12:09.880] inference_fe inference_be/srv2 0/0/0/4/4 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:52676 [23/Oct/2025:17:12:14.977] inference_fe inference_be/srv1 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:51556 [23/Oct/2025:17:12:20.101] inference_fe inference_be/srv2 0/0/0/4/4 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:51562 [23/Oct/2025:17:12:25.205] inference_fe inference_be/srv1 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:47664 [23/Oct/2025:17:12:30.310] inference_fe inference_be/srv2 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:47668 [23/Oct/2025:17:12:35.399] inference_fe inference_be/srv1 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | Server inference_be/srv2 is going DOWN for maintenance (No IP for server ). 1 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
inference-lb-1  | [WARNING]  (8) : Server inference_be/srv2 is going DOWN for maintenance (No IP for server ). 1 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
inference-lb-1  | 127.0.0.1:43620 [23/Oct/2025:17:12:40.506] inference_fe inference_be/srv1 0/0/0/5/6 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.20.0.9:33164 [23/Oct/2025:17:12:44.746] inference_fe inference_be/srv1 0/0/0/2/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:43624 [23/Oct/2025:17:12:45.608] inference_fe inference_be/srv1 0/0/0/3/3 200 226 - - ---- 2/2/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.20.0.9:33178 [23/Oct/2025:17:12:46.759] inference_fe inference_be/srv1 0/0/0/5/5 200 241 - - ---- 2/2/0/0/0 0/0 "GET /predict_ping HTTP/1.1"
inference-lb-1  | 172.20.0.11:60296 [23/Oct/2025:17:12:46.916] inference_fe inference_be/srv1 0/0/0/7/7 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
