inference-lb-1  | 172.18.0.1:53124 [23/Oct/2025:18:03:36.793] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/56/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52504 [23/Oct/2025:18:03:36.811] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/56/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51618 [23/Oct/2025:18:03:36.811] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/56/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51752 [23/Oct/2025:18:03:36.813] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/56/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:53088 [23/Oct/2025:18:03:36.823] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/56/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52546 [23/Oct/2025:18:03:36.826] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/56/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52404 [23/Oct/2025:18:03:36.841] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/56/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52744 [23/Oct/2025:18:03:36.847] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/56/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51362 [23/Oct/2025:18:03:36.863] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/56/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52534 [23/Oct/2025:18:03:28.847] inference_fe inference_be/srv1 0/0/0/7852/8027 200 479 - - ---- 200/200/55/55/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51524 [23/Oct/2025:18:03:28.843] inference_fe inference_be/srv1 0/0/0/7870/8031 200 479 - - ---- 200/200/54/54/0 0/0 "POST /predict HTTP/1.1"
